Age,StressLevel,PhysicalActivity,CaffeineIntake,ScreenTime,SleepDuration,SleepQuality
29,1,9,20,3,9.4,90.79
44,8,4,195,3,5.67,50.89
59,1,1,177,8,6.73,67.85
40,3,3,6,3,8.36,73.65
42,4,1,69,6,7.03,63.93
38,8,1,126,4,5.98,58.27
41,6,3,398,5,5.09,44.69
42,10,5,159,5,6.8,53.05
62,7,6,247,8,6.47,59.19
63,8,9,202,2,6.38,72.18
49,2,2,147,5,7.69,63.87
49,10,2,142,5,5.11,48.94
22,8,9,198,3,6.94,72.78
53,3,5,153,3,7.32,77.63
63,7,2,375,6,6.39,46.77
59,3,1,383,8,5.75,60.01
59,7,7,141,2,7.07,65.9
56,2,4,312,8,5.92,57.19
33,10,0,164,1,5.61,47.58
50,6,2,313,7,5.43,53.39
38,3,9,20,2,8.03,93.79
26,3,7,81,2,7.99,85.82
23,9,3,68,4,5.27,59.54
62,7,6,130,8,5.88,64.13
52,5,9,86,6,7.54,72.92
56,10,1,217,4,5.71,43.55
39,7,6,304,2,6.48,69.12
58,9,4,370,2,5.84,45.05
22,1,4,344,2,6.93,78.03
59,7,5,340,5,6.12,51.72
40,6,8,383,8,6.49,63.41
34,10,5,395,7,5.57,41.56
29,9,7,160,7,6.11,55.34
40,1,6,177,4,8.18,90.13
33,4,8,116,2,7.93,75.54
20,9,3,195,7,6.48,48.13
47,4,1,382,3,6.85,57.94
39,10,6,326,8,4.88,46.68
26,3,5,85,7,6.91,81.6
46,9,0,288,6,5.71,37.33
64,2,10,80,8,7.19,76.61
54,4,8,151,6,8.14,69.82
40,6,8,60,7,7.15,67.94
30,2,1,60,3,7.69,74.82
49,8,2,353,6,5.44,45.58
63,8,4,27,5,6.1,68.9
64,1,4,42,7,8.17,85.56
65,3,0,168,5,8.02,69.97
40,10,7,85,7,6.27,67.12
62,9,7,176,1,6.72,67.94
34,5,3,16,1,6.16,78.96
57,6,6,97,1,8.12,77.41
38,4,10,197,6,7.98,79.29
19,10,9,97,5,6.02,62.76
54,2,2,64,5,6.32,71.2
23,8,5,329,5,5.04,46.4
61,6,9,340,3,7.24,67.85
35,5,9,4,5,8.29,81.41
47,9,8,1,3,6.91,68.23
39,1,0,21,1,7.96,74.54
50,5,4,111,1,7.4,71.54
47,6,3,56,6,6.63,60.63
34,5,7,65,7,7.82,69.84
60,6,10,329,1,6.63,76.08
49,6,0,97,7,6.82,57.12
59,7,8,143,7,6.56,61.11
31,4,5,367,8,7.15,63.9
27,8,3,124,6,5.81,59.34
64,7,8,166,2,7.08,72.02
53,9,10,85,2,7.46,73.77
51,7,4,75,4,6.91,67.87
26,3,4,343,8,6.61,55.42
59,3,4,293,6,6.03,70.68
45,8,0,58,4,6.29,49.31
28,5,0,137,4,6.59,56.43
31,4,7,98,8,7.04,71.64
56,8,7,191,2,7.11,54.15
64,6,5,242,6,5.82,60.62
36,2,10,318,2,7.62,89.37
32,4,3,48,4,6.92,62.73
45,4,1,31,6,6.79,70.32
41,6,1,390,4,6.45,47.61
25,6,8,276,5,7.57,66.65
60,1,4,19,8,8.27,73.86
26,8,3,153,7,5.91,54.17
64,6,9,382,6,7.01,67.86
50,3,0,67,6,6.93,68.23
50,9,6,365,7,5.74,47.33
36,2,2,371,4,6.47,63.09
20,8,5,213,5,7.24,55.76
27,10,4,142,3,7.0,56.72
57,3,4,375,7,6.72,64.9
64,5,10,231,8,7.03,71.82
59,6,4,212,2,6.8,58.43
18,10,0,78,4,6.21,46.54
46,6,0,213,7,5.64,46.94
51,4,2,115,7,7.2,65.97
30,3,9,91,6,7.42,76.65
18,4,3,269,2,6.99,69.59
51,1,4,380,2,5.89,73.39
46,4,1,167,8,6.1,48.39
65,1,7,57,2,9.4,94.54
64,1,10,283,7,8.16,80.88
30,10,10,25,3,8.15,74.13
65,6,1,368,1,5.7,47.93
46,5,8,65,4,7.75,74.99
56,4,1,247,1,7.34,64.81
41,3,8,253,7,7.51,73.66
43,1,6,386,1,7.59,73.09
34,6,7,43,7,8.07,70.53
24,2,10,96,1,8.01,100.0
30,8,1,41,2,6.54,60.94
22,10,6,226,5,5.26,51.98
43,5,5,261,2,6.36,61.28
20,7,3,166,2,7.19,57.55
24,10,6,278,8,5.29,45.18
56,2,3,88,6,7.68,70.11
18,8,1,378,6,6.14,47.59
34,2,9,177,1,8.08,91.06
60,4,6,196,7,7.23,80.88
42,1,7,306,8,7.5,68.52
20,5,1,266,2,5.8,60.99
32,9,4,267,8,5.38,38.27
46,1,0,73,1,7.05,67.2
60,9,6,7,6,6.6,63.2
49,8,7,296,5,6.71,59.7
43,6,5,163,4,6.59,60.84
33,7,4,84,1,7.08,67.65
42,3,5,71,8,6.78,67.72
45,1,1,54,5,8.02,72.21
26,5,0,392,4,5.48,50.64
18,2,6,46,3,8.8,79.44
46,5,6,398,1,6.73,63.78
39,8,9,237,1,6.39,65.15
33,9,10,103,3,7.22,70.52
58,2,9,209,3,7.38,70.56
61,3,1,41,1,7.76,73.93
58,3,1,315,3,6.35,58.41
24,1,0,267,2,6.97,65.73
31,8,9,385,4,6.22,57.02
46,6,7,262,4,6.56,65.67
36,8,7,335,4,5.83,56.48
36,9,0,386,2,5.75,38.1
19,5,10,364,7,6.71,70.19
58,3,7,258,3,7.22,71.85
62,5,8,282,5,6.86,64.77
32,5,3,113,3,6.69,68.93
20,5,0,362,1,5.93,59.24
28,3,0,39,6,7.06,62.77
63,10,2,219,8,4.93,25.35
47,4,4,128,8,6.41,59.93
57,9,4,7,4,7.48,59.8
35,10,8,100,3,6.74,65.34
65,9,9,379,5,5.92,54.93
19,2,1,175,1,6.54,71.66
49,8,1,106,2,6.87,68.09
25,8,5,100,7,6.01,54.64
39,7,8,259,2,6.97,70.69
23,8,0,365,5,4.45,35.87
29,3,8,245,1,8.1,76.1
64,6,8,274,4,7.51,70.42
57,1,8,31,3,8.72,96.19
53,7,4,136,1,6.17,63.67
32,1,8,11,8,8.56,74.83
45,9,10,394,7,5.69,52.84
62,1,3,301,2,6.56,76.32
35,1,1,374,7,6.1,62.57
19,7,5,15,7,6.74,59.23
30,2,3,128,5,7.02,72.3
62,5,5,62,5,7.9,65.89
32,8,2,108,3,7.48,51.3
37,8,5,374,5,5.19,55.06
46,3,1,20,5,6.87,70.19
59,7,1,157,1,6.59,58.84
46,3,8,268,8,6.87,67.82
20,6,6,161,4,7.22,66.07
36,6,2,259,3,6.78,59.13
20,3,10,101,1,8.74,98.11
31,7,0,222,4,6.27,54.61
57,3,7,58,7,8.49,73.03
21,8,5,246,1,5.79,57.84
28,10,6,127,6,7.1,48.93
48,4,8,282,1,7.23,76.44
60,1,4,324,5,7.35,67.92
49,4,0,24,4,6.49,68.65
44,7,9,130,3,6.95,58.58
47,4,6,352,3,7.16,71.42
60,6,4,195,4,5.71,63.73
19,9,2,280,5,6.14,52.01
26,1,8,153,2,8.82,93.19
45,5,0,381,1,6.12,53.65
48,7,0,132,5,6.22,56.36
51,1,0,226,6,6.28,65.38
32,4,2,188,8,6.77,49.29
65,6,5,264,7,6.52,58.37
42,2,9,371,4,6.89,74.95
53,10,10,133,8,6.47,57.01
25,5,2,210,1,6.7,74.06
26,10,7,59,3,6.73,62.45
54,1,9,376,7,6.56,71.33
65,6,1,394,8,5.75,49.8
62,6,8,363,2,6.69,69.32
56,4,2,363,8,5.92,48.03
49,8,4,212,6,5.87,44.81
34,4,9,215,3,7.83,73.36
52,8,7,225,4,6.74,65.03
54,8,1,130,1,7.06,55.89
36,5,5,75,4,7.55,71.16
61,4,4,285,7,6.36,54.46
46,2,9,276,1,7.5,89.74
24,3,8,155,5,8.08,68.17
45,3,4,247,2,6.99,69.51
26,4,1,217,5,6.38,62.88
45,4,4,189,5,6.83,61.42
23,10,3,162,4,5.85,52.61
46,5,10,179,7,7.28,67.78
34,4,6,33,2,8.82,73.68
33,10,5,40,8,5.82,57.23
40,8,1,306,1,5.51,52.89
48,6,10,337,1,7.9,75.99
20,6,10,313,6,6.69,71.7
38,8,4,74,3,6.59,48.38
43,7,6,278,6,6.87,60.63
53,10,10,175,8,5.82,51.94
59,10,6,383,6,6.0,42.16
54,8,4,149,1,6.78,64.42
39,2,8,272,4,7.76,77.42
59,9,3,324,5,5.86,49.15


